symbol,year,quarter,transcript_dt,report_timing,market_cap,composite,n_priors,level_z,drift_z,signal_blend,entry_date,entry_price,ret_open+30m,ret_open+60m,ret_open+120m,ret_close,ret_t1_close
0001.HK,2025,4,2026-03-23T00:00:00,BMO,222334112250.0,0.177443,11,0.0535,0.2515,0.2256,2026-03-24,58.6,-0.011945,-0.009386,-0.000853,0.004266,0.02901
034220.KS,2025,4,2026-01-28T00:00:00,BMO,6065000000000.0,0.251417,12,0.0496,-2.0427,-1.2398,2026-01-29,11690.0,0.001711,-0.005133,-0.005133,0.010265,-0.001711
005490.KS,2025,4,2026-02-05T00:00:00,BMO,29702411000000.0,0.179304,12,1.3163,2.642,1.7801,2026-02-06,351500.0,0.021337,0.008535,0.02845,0.02276,0.034139
005930.KS,2025,4,2026-01-29T00:00:00,BMO,1082646184800000.0,0.285957,12,0.967,1.0359,0.7734,2026-01-30,162200.0,0.008631,0.023428,-0.004932,-0.010481,-0.07275
005930.KS,2026,1,2026-04-29T00:00:00,BMO,1526259134000000.0,0.229186,12,-1.0242,-1.2553,-0.7357,2026-04-30,228500.0,-0.010941,-0.015317,-0.017505,-0.035011,0.017505
015760.KS,2025,4,2026-02-26T00:00:00,BMO,41008018800000.0,0.090067,12,-0.004,1.5273,1.0243,2026-02-27,60000.0,-0.01,-0.02,-0.025,-0.025,-0.151667
0522.HK,2025,4,2026-03-04T00:00:00,BMO,44965584000.0,0.25756,7,1.0648,0.0588,0.1283,2026-03-05,115.3,-0.012142,-0.003469,-0.006938,-0.025152,-0.039029
0522.HK,2026,1,2026-04-22T00:00:00,BMO,63368165599.0,0.25265,8,0.6891,-0.1021,0.0221,2026-04-23,162.8,-0.020885,-0.02887,-0.030098,-0.051597,0.009828
017670.KS,2025,4,2026-02-05T00:00:00,BMO,16506105000000.0,0.236438,12,-0.49,1.1709,0.8438,2026-02-06,69600.0,0.021552,-0.002874,0.002874,-0.005747,0.054598
030200.KS,2025,4,2026-02-10T00:00:00,BMO,14651887400000.0,0.268413,12,-0.0079,1.1547,0.8445,2026-02-11,63300.0,-0.00316,0.009479,0.014218,-0.009479,0.031596
0669.HK,2025,4,2026-03-04T00:00:00,BMO,222793149600.0,0.253164,7,0.2418,0.134,0.1757,2026-03-05,125.0,-0.0048,-0.0064,-0.0208,-0.0304,-0.0512
0992.HK,2026,4,2026-05-22T00:00:00,BMO,203056308000.0,0.526822,12,1.4832,2.2418,1.6416,2026-05-26,17.1,0.04269,0.073684,0.084795,0.060819,0.112281
005380.KS,2025,3,2026-01-30T00:00:00,BMO,130157500000000.0,0.316747,8,0.7678,0.3453,0.3353,2026-02-02,498500.0,0.003009,-0.005015,-0.02006,-0.041123,-0.014042
005380.KS,2025,4,2026-01-29T00:00:00,BMO,137446320000000.0,0.377238,9,1.6191,-0.0523,0.0769,2026-01-30,508500.0,0.000983,0.006883,-0.010816,-0.016716,-0.05998
105560.KS,2025,4,2026-02-05T00:00:00,BMO,50705878500000.0,0.192122,12,1.6178,1.233,0.8687,2026-02-06,143400.0,0.039052,0.037657,0.067294,0.041144,0.055788
105560.KS,2026,1,2026-04-23T00:00:00,BMO,59659694000000.0,0.177745,12,0.9614,-0.0097,0.0559,2026-04-24,157000.0,0.008917,0.010828,0.000637,0.002548,0.002548
1024.HK,2025,4,2026-03-25T00:00:00,BMO,228201418450.0,0.399053,12,-0.1212,0.9369,0.7487,2026-03-26,46.7,-0.014561,-0.008137,-0.016274,-0.023555,-0.010278
1179.HK,2025,4,2026-03-18T00:00:00,BMO,129471566266.0,0.435504,12,2.6505,1.4267,1.0798,2026-03-19,41.0,0.00878,0.014146,-0.001951,-0.014146,-0.013659
1698.HK,2025,4,2026-03-17T00:00:00,BMO,176166432670.0,0.30514,12,0.216,-0.6684,-0.3276,2026-03-18,46.44,-0.031438,-0.028854,-0.043497,-0.037468,-0.120586
2020.OL,2025,4,2026-02-11T00:00:00,BMO,3112730306.0,0.117139,12,-0.2043,-0.4166,-0.2298,2026-02-12,131.0,0.012214,0.010687,0.00916,0.001527,0.017557
